zip,count
10604,4
10605,2
10606,1
10607,1
107,1
1070,1
10701,5
10703,1
10704,3
10705,4
10706,2
10707,8
10708,6
10710,4
108,1
1080072,1
10801,2
10803,3
10804,6
10805,1
10900,1
10901,6
10902,1
10913,1
10916,2
10917,1
10918,5
10920,3
10921,1
10924,4
10925,1
10926,1
10928,1
10930,1
10940,13
10941,4
10950,9
10952,4
10954,6
10956,9
10960,4
10962,5
10963,4
10965,2
1096DS,1
10977,7
10980,5
10983,1
10990,9
10992,2
10994,2
10998,2
110004,1
11001,4
11003,1
11004,1
110043,1
11010,5
110111,1
110131,3
11021,2
11023,1
11030,6
11040,7
11050,7
110821,1
110931,1
1110033,1
11101,9
11102,5
111021,1
11103,7
111031,1
11104,2
11105,9
11106,9
11109,4
11110,1
111111,1
111156,2
111166,1
111221,1
111321,1
111321217,1
11201,15
11203,3
11204,5
11205,8
11206,15
11207,7
11208,3
11209,6
11211,17
11212,1
11213,5
11214,1
11215,19
11216,15
11217,6
11218,5
11219,2
11220,4
11221,12
11222,16
11223,2
11224,4
11225,7
11226,7
11228,4
11229,9
11230,2
11231,7
11232,5
11233,4
11234,5
11235,3
11236,5
11237,17
11238,21
11247,1
11249,5
11300,1
11354,4
11355,1
11357,7
11358,1
11360,3
11361,4
11362,2
11363,2
11364,1
11365,1
11366,1
11367,1
11368,4
11370,3
11372,1
11373,8
11374,3
11375,9
11377,9
11378,4
11379,4
11385,7
114,2
11412,2
11413,1
11414,1
11415,7
11416,3
11417,3
11420,1
11421,2
11422,2
11423,1
11426,1
11427,1
11428,1
11432,4
11433,1
11434,3
11435,2
11454,1
115 56,1
11501,9
11507,3
11509,1
11510,5
11514,1
11518,2
11520,3
11530,6
11542,10
11545,1
11548,1
11550,1
11552,1
11553,1
11554,4
11557,1
11558,1
11559,1
11560,2
11561,9
11563,6
11565,4
11566,11
11569,1
11570,7
11572,4
11575,3
11576,2
11577,1
11579,2
11580,7
11581,3
11590,6
11596,2
11598,1
116033,1
11623,1
11691,2
11692,2
11693,4
11694,1
11697,1
11701,4
11702,5
11703,4
11704,13
11705,7
11706,8
11709,1
11710,3
11713,2
11714,4
11715,2
11716,1
11717,1
11718,2
11719,1
11720,10
11721,2
11722,2
11724,2
11725,5
11726,4
11727,3
11729,7
11730,7
11731,13
11732,1
11733,10
11735,5
11738,2
11740,7
11741,8
11742,8
11743,10
11746,16
11747,4
11751,4
11752,6
11753,1
11754,8
11755,5
11756,8
11757,8
11758,5
11762,10
11763,3
11764,7
11765,1
11766,4
11767,3
11768,5
11769,3
11771,4
11772,12
11776,4
11777,1
11778,1
11779,14
11780,5
11782,7
11783,4
11784,3
11786,5
11787,20
11788,2
11789,4
11790,7
11791,3
11792,4
11793,8
11795,5
11796,1
11797,1
11798,1
11801,8
11803,4
11804,2
11841,1
1188CA,1
1190,1
11901,7
11932,1
11934,1
11935,2
119361,1
11937,9
11940,1
11941,3
11942,4
11946,10
11948,2
11949,2
11950,2
11951,2
11952,4
11953,4
11954,5
11961,2
11962,1
11963,7
11964,1
11965,1
11967,5
11971,3
11972,1
11973,1
11976,3
11977,1
11978,4
11980,2
1200,1
12000,1
12009,2
12010,7
12015,1
12018,3
12019,3
12020,15
12023,2
12025,5
12027,5
12028,1
12033,7
12037,5
12043,3
12047,6
120502,1
12053,3
12054,5
12056,1
12058,1
12059,1
12061,3
12065,17
12074,1
12075,3
12076,1
12077,3
12078,3
12084,1
12086,2
12087,1
12090,2
12093,1
12095,1
12110,7
12118,4
12122,1
12123,2
12134,1
12136,1
12137,1
12138,4
12144,9
12148,3
12149,1
12155,2
12158,3
12159,4
12165,1
12170,2
12180,15
12183,1
12184,1
12185,2
12186,4
12188,4
12189,3
12192,1
12193,4
12196,3
12197,1
12198,3
122011,1
12203,11
12204,1
12205,5
12206,1
12208,4
12210,3
12211,5
12220,1
12302,18
12303,7
12304,3
12306,8
12308,3
12309,16
12320,1
12401,14
12410,1
12413,2
12414,4
12418,1
12422,1
12428,1
12430,2
12432,1
12433,2
12440,1
12442,1
12443,4
12446,2
12449,2
12454,1
12457,3
12458,1
12461,1
12464,1
12472,1
12474,1
12477,13
12481,1
12482,1
12484,2
12487,1
12491,3
12493,1
12495,1
12498,3
12508,8
12510,1
12513,1
12514,1
12518,1
12520,1
12521,1
12522,1
12523,1
